City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
naryan-mar,100,,1603761790,94,67.67,53.09,19.96,15.99
sheridan,90,,1603761790,67,44.83,-106.92,19.99,4.7
puerto escondido,90,,1603761790,74,15.85,-97.07,78.8,4.7
namibe,8,,1603761725,83,-15.2,12.15,68.7,4.43
wladyslawowo,75,,1603761791,93,54.79,18.4,54.0,4.7
klaksvik,51,,1603761791,66,62.23,-6.59,33.8,7.47
san cristobal,29,,1603761791,89,7.77,-72.22,67.95,1.88
lavrentiya,0,,1603761792,91,65.58,-171,31.96,5.37
bathsheba,75,,1603761792,88,13.22,-59.52,77.0,19.46
yining,0,,1603761792,63,29.04,114.56,66.85,0.4
barra do garcas,100,,1603761501,71,-15.89,-52.26,77.99,3.15
alta floresta,0,,1603761793,83,-9.88,-56.09,72.93,1.59
yellowknife,90,,1603761607,67,62.46,-114.35,23.0,11.41
ndende,100,,1603761793,96,-2.4,11.36,72.36,1.57
bambous virieux,40,,1603761794,78,-20.34,57.76,72.0,8.05
alihe,96,,1603761794,80,50.57,123.72,36.88,8.63
pemba,75,,1603761794,88,-12.97,40.52,77.0,5.82
mana,1,,1603761794,81,5.66,-53.78,80.73,9.37
teya,75,,1603761795,95,60.38,92.63,15.19,3.65
cape town,0,,1603761609,87,-33.93,18.42,61.0,6.93
ancud,20,,1603761855,81,-41.87,-73.82,44.01,4.7
fort frances,90,,1603761855,53,48.6,-93.4,25.0,11.41
esperance,0,,1603761855,60,-33.87,121.9,71.6,3.36
hamilton,90,,1603761745,81,39.18,-84.53,48.2,4.7
kahului,40,,1603761614,52,20.89,-156.47,89.6,10.29
sorland,3,,1603761758,74,67.67,12.69,48.63,23.2
kavaratti,22,,1603761856,70,10.57,72.64,81.9,4.63
wanning,58,,1603761663,80,18.8,110.4,76.86,15.79
new norfolk,84,,1603761857,49,-42.78,147.06,57.0,3
atar,100,,1603761857,16,20.52,-13.05,86.49,5.79
alice springs,0,,1603761677,18,-23.7,133.88,73.4,8.05
enid,90,,1603761594,100,36.4,-97.88,28.4,3.36
busselton,66,,1603761858,67,-33.65,115.33,70.0,5.99
yerbogachen,100,,1603761858,96,61.28,108.01,20.88,4.59
vysotsk,90,,1603761858,100,60.63,28.57,48.2,8.05
yeppoon,75,,1603761859,65,-23.13,150.73,80.6,8.05
ahipara,55,,1603761681,73,-35.17,173.17,68.81,8.03
bredasdorp,49,,1603761608,88,-34.53,20.04,64.4,3.36
upernavik,50,,1603761859,83,72.79,-56.15,17.4,4.74
sabzevar,8,,1603761860,43,36.21,57.68,50.56,5.01
hualmay,64,,1603761860,81,-11.1,-77.61,64.24,8.9
port macquarie,68,,1603761636,54,-31.43,152.92,73.99,4
waipawa,100,,1603761785,93,-41.41,175.52,51.8,23.04
acapulco,75,,1603761646,83,16.86,-99.89,84.2,5.82
narsaq,96,,1603761693,59,60.92,-46.05,33.8,3.36
tilichiki,100,,1603761861,91,60.47,166.1,33.01,6.2
taoudenni,0,,1603761861,21,22.68,-3.98,83.26,6.13
pangnirtung,3,,1603761861,83,66.15,-65.71,7.63,7.78
mamou,4,,1603761862,68,10.5,-12,67.68,2.39
rudnogorsk,86,,1603761862,93,57.26,103.75,20.89,4.88
san ramon,1,,1603761862,6,37.78,-121.98,71.01,4.7
jahanabad,0,,1603761862,82,25.22,84.98,64.4,4.7
garden city,90,,1603761863,70,42.33,-83.33,44.01,8.05
strezhevoy,90,,1603761863,86,60.73,77.59,26.6,17.9
vrangel,100,,1603761863,59,42.73,133.08,52.38,2.95
severo-kurilsk,99,,1603761863,81,50.68,156.12,44.85,5.1
erzin,6,,1603761863,34,36.96,36.2,72.0,13
portovelo,100,,1603761864,73,-3.72,-79.62,72.45,1.45
seoul,1,,1603761604,87,37.57,126.98,53.6,0.4
cherepanovo,100,,1603761864,79,54.22,83.38,37.2,13.96
assiniboia,0,,1603761864,95,49.63,-105.98,20.35,11.03
luderitz,0,,1603761864,79,-26.65,15.16,58.53,11.59
grindavik,90,,1603761865,74,63.84,-22.43,39.2,21.92
cockburn town,94,,1603761865,79,21.46,-71.14,83.14,19.28
damaturu,55,,1603761865,19,11.75,11.96,77.23,7.23
binabalian,100,,1603761865,74,16.42,119.93,83.61,23.51
dingle,67,,1603761866,80,11,122.67,82.72,8.14
poum,89,,1603761669,73,-20.23,164.02,76.68,9.22
mokrous,0,,1603761866,93,51.23,47.52,32.56,5.99
mouzouras,20,,1603761927,77,35.53,24.15,60.8,3.36
la ronge,75,,1603761927,58,55.1,-105.28,26.6,5.82
tuktoyaktuk,20,,1603761927,78,69.45,-133.04,10.4,12.75
kathu,20,,1603761927,88,7.92,98.33,87.01,2.24
along,74,,1603761928,86,28.17,94.77,66.49,1.28
sitka,90,,1603761928,87,57.05,-135.33,50.0,10.29
dikson,69,,1603761928,95,73.51,80.55,10.53,16.84
atasu,9,,1603761628,75,48.68,71.64,38.82,17.31
cabo san lucas,20,,1603761918,65,22.89,-109.91,82.99,12.75
kasongo,96,,1603761929,100,-4.45,26.67,68.72,2.04
tshela,100,,1603761929,92,-4.98,12.93,74.1,1.25
jand,0,,1603761929,32,33.43,72.02,61.14,2.46
san pedro de cajas,100,,1603761929,80,-11.25,-75.86,44.49,2.71
geraldton,0,,1603761930,56,-28.77,114.6,71.6,10.29
bridgton,100,,1603761930,98,44.05,-70.71,39.0,2.39
nizhniye sergi,100,,1603761930,94,56.66,59.3,24.26,14.43
filadelfia,90,,1603761707,100,39.95,-75.16,62.01,3.36
uhlove,100,,1603761931,79,44.82,33.6,62.78,3.22
bousso,1,,1603761931,27,10.48,16.71,75.72,3.33
inirida,100,,1603761932,93,3.87,-67.92,76.51,2.57
bijar,0,,1603761932,51,35.87,47.61,43.9,4.21
cayenne,75,,1603761933,100,4.93,-52.33,78.8,2.24
ormara,0,,1603761933,54,25.21,64.64,75.56,9.04
catamarca,0,,1603761640,70,-28.47,-65.79,57.99,1.99
saint george,1,,1603761908,9,37.1,-113.58,46.4,27.51
el alto,7,,1603761934,93,-4.27,-81.21,63.48,12.5
provideniya,90,,1603761934,69,64.38,-173.3,33.8,2.24
kamenka,25,,1603761935,87,51.32,42.77,39.81,6.69
saint-philippe,90,,1603761935,78,-21.36,55.77,71.6,13.71
masvingo,0,,1603761935,54,-20.06,30.83,64.83,5.48
mindelo,75,,1603761936,74,16.89,-24.98,78.8,32.21
skjervoy,100,,1603761936,63,70.03,20.97,43.39,10.33
goundam,20,,1603761936,14,16.41,-3.67,81.82,5.06
freeport,90,,1603761862,93,40.66,-73.58,57.99,3.36
alyangula,90,,1603761937,66,-13.85,136.42,84.2,8.05
plettenberg bay,0,,1603761937,82,-34.05,23.37,63.16,2.59
beringovskiy,0,,1603761938,84,63.05,179.32,33.53,3.42
tiksi,100,,1603761938,94,71.69,128.87,6.26,5.46
castro,100,,1603761938,90,-24.79,-50.01,62.35,3.02
roma,90,,1603761752,87,43.21,-75.46,48.2,6.93
elmadag,0,,1603761939,56,39.92,33.23,61.0,1.12
qaanaaq,99,,1603761939,76,77.48,-69.36,8.64,8.9
husavik,90,,1603761939,59,66.04,-17.34,35.6,5.82
kuryk,11,,1603761939,59,43.2,51.65,47.66,10.2
souillac,40,,1603761939,78,-20.52,57.52,71.6,8.05
ponta do sol,40,,1603761940,68,32.67,-17.1,66.2,9.17
lata,55,,1603761940,88,40.16,-8.33,53.01,3.2
okhotsk,0,,1603761940,76,59.38,143.3,31.68,14.74
barabai,100,,1603761681,88,-2.58,115.38,77.63,1.45
veraval,0,,1603761941,47,20.9,70.37,80.29,8.95
tolaga bay,100,,1603762001,73,-38.37,178.3,62.55,4.32
jalgaon,0,,1603762001,54,21.02,75.57,71.38,0.63
mugla,0,,1603762001,93,37.23,28.36,59.0,3.36
port blair,47,,1603761914,79,11.67,92.75,80.55,2.39
camacha,40,,1603762002,68,33.08,-16.33,66.2,2.24
laguna,1,,1603762002,9,38.42,-121.42,72.0,12.75
nanortalik,95,,1603762003,92,60.14,-45.24,32.95,10.2
cherskiy,81,,1603762003,94,68.75,161.3,6.89,6.93
bermejo,0,,1603762003,30,-32.88,-68.8,69.8,4.7
laguna beach,75,,1603762003,4,33.54,-117.78,70.0,8.05
scarborough,12,,1603761788,88,54.28,-0.4,46.0,3
tavrichanka,40,,1603762004,71,43.34,131.86,50.0,4.47
melipilla,0,,1603762004,87,-33.7,-71.22,64.4,2.24
north platte,20,,1603761714,67,41.12,-100.77,19.4,4.7
khrebtovaya,74,,1603762004,97,56.7,104.25,18.27,6.44
kamaishi,20,,1603762005,66,39.27,141.88,55.4,3.36
goure,0,,1603762005,26,13.98,10.27,75.99,3
eydhafushi,0,,1603762005,75,5.1,73.07,82.54,7.52
novaci,10,,1603762005,81,45.18,23.67,49.53,2.26
trinidad,100,,1603762006,92,-14.83,-64.9,71.47,7.99
port lincoln,24,,1603762006,74,-34.73,135.87,60.13,11.27
saldanha,4,,1603762006,87,-33.01,17.94,60.8,3.36
okha,93,,1603762006,76,53.57,142.95,41.34,10.11
sahuaripa,0,,1603762007,49,29.05,-109.23,68.65,8.19
vila velha,0,,1603761841,78,-20.33,-40.29,73.4,10.29
svetlogorsk,24,,1603762007,81,52.63,29.73,45.55,10.63
bima,74,,1603762008,57,-8.47,118.72,87.69,3.78
ivanivka,100,,1603762008,78,46.72,34.55,55.67,10.63
sao jose da coroa grande,0,,1603762008,82,-8.9,-35.15,76.87,10.85
mar del plata,0,,1603762009,76,-38,-57.56,57.0,5.82
hihya,0,,1603762009,83,30.67,31.59,73.4,3.36
saint andrews,1,,1603762009,88,34.05,-81.13,64.4,1.48
ambovombe,0,,1603762010,84,-25.17,46.08,68.13,1.95
harrisonburg,40,,1603761961,100,38.45,-78.87,61.0,1.52
mayo,1,,1603762010,100,38.89,-76.51,57.2,0.54
saint-joseph,90,,1603762011,78,-21.37,55.62,71.6,10.98
chuy,100,,1603762011,81,-33.7,-53.46,56.82,11.81
bud,90,,1603762011,93,39.45,-86.18,44.6,3.89
villarrica,0,,1603762011,81,-25.75,-56.43,66.72,4.21
boa vista,0,,1603762012,58,2.82,-60.67,86.0,4.7
coihaique,0,,1603762012,52,-45.58,-72.07,44.6,3.36
marystown,100,,1603762012,100,47.17,-55.15,43.0,7.05
sao filipe,100,,1603762012,78,14.9,-24.5,80.13,8.68
lompoc,1,,1603761886,55,34.64,-120.46,62.6,8.05
nador,0,,1603762013,67,35.17,-2.93,60.8,9.17
te anau,4,,1603762013,50,-45.42,167.72,58.15,6.89
kruisfontein,0,,1603762013,89,-34,24.73,64.0,1.99
turcianske teplice,75,,1603762014,93,48.86,18.86,55.0,1.12
samarai,100,,1603762014,79,-10.62,150.67,81.93,6.76
isangel,75,,1603762015,58,-19.55,169.27,84.2,9.17
chimbote,100,,1603761869,88,-9.09,-78.58,61.99,6.78
anadyr,75,,1603762075,92,64.75,177.48,21.2,6.71
pacific grove,0,,1603762068,42,36.62,-121.92,62.01,1.01
vagur,100,,1603762076,66,61.47,-6.81,45.01,11.18
port-cartier,90,,1603762076,100,50.03,-66.87,30.99,6.93
njombe,98,,1603762076,92,-9.33,34.77,58.01,6.44
anito,95,,1603762077,72,12.45,125.29,84.65,7.07
kolobrzeg,100,,1603762077,97,54.18,15.58,50.0,12.17
goianesia,100,,1603762077,85,-15.32,-49.12,72.59,1.21
lakes entrance,100,,1603762077,92,-37.88,147.98,55.99,4
haines junction,0,,1603762077,83,60.75,-137.51,35.28,8.08
sechura,40,,1603762078,77,-5.56,-80.82,67.35,14.16
bay city,90,,1603761996,80,43.59,-83.89,39.2,5.82
adrar,0,,1603762078,14,20.5,-10.07,84.29,5.97
ifakara,87,,1603762078,80,-8.13,36.68,72.7,4.68
loralai,0,,1603762079,38,30.37,68.6,48.02,1.99
north bay,75,,1603762079,86,46.32,-79.47,33.01,9.17
synya,99,,1603762079,96,65.37,58.04,16.45,4.38
luwingu,47,,1603762079,54,-10.26,29.93,67.89,4.43
najran,0,,1603762079,26,17.49,44.13,59.0,1.16
sabha,0,,1603762080,30,27.04,14.43,69.62,10.18
calama,0,,1603762080,19,-22.47,-68.93,59.0,11.41
port moresby,95,,1603762080,73,-9.44,147.18,83.55,4.5
makakilo city,20,,1603762080,66,21.35,-158.09,84.2,12.75
saint-pierre,90,,1603762081,78,-21.34,55.48,71.6,5.86
torbay,90,,1603762081,59,47.67,-52.73,37.99,11.41
portland,0,,1603761863,58,45.52,-122.68,51.01,2.28
alofi,75,,1603762081,74,-19.06,-169.92,78.8,19.46
krasnoselkup,0,,1603762082,90,65.7,82.47,-2.0,10.22
yarim,2,,1603762082,46,14.3,44.38,46.71,5.08
guaruja,54,,1603761830,26,-23.99,-46.26,75.0,7.61
gizo,77,,1603762082,72,-8.1,156.84,83.37,3.83
yoichi,75,,1603762083,93,43.2,140.77,57.0,2.24
vila,99,,1603761906,94,42.03,-8.16,48.0,8.01
sal rei,75,,1603762083,78,16.18,-22.92,78.8,14.99
fonte boa,0,,1603762083,90,-2.5,-66.27,75.52,0.83
aleppo,0,,1603762061,32,36.25,37.5,62.96,5.84
college,90,,1603762084,79,64.86,-147.8,28.4,5.82
jilib,27,,1603762084,94,0.49,42.79,74.89,3.65
maghar,0,,1603762084,41,32.89,35.41,65.93,1.97
banda aceh,0,,1603762085,70,5.56,95.32,82.06,11.32
aklavik,75,,1603762085,78,68.22,-135.01,12.2,8.05
huntington,90,,1603762085,93,38.42,-82.45,57.0,4.7
teknaf,0,,1603762085,83,20.86,92.31,78.06,3.4
sehithwa,0,,1603762085,20,-20.47,22.72,76.91,11.7
tigre,0,,1603762086,51,-34.43,-58.58,62.6,6.93
iquique,90,,1603762086,68,-20.22,-70.14,64.4,5.82
bowen,100,,1603762086,54,-20.02,148.23,84.2,5.82
hasaki,75,,1603762086,72,35.73,140.83,64.99,8.05
canton,0,,1603762087,47,23.12,113.25,80.01,6.71
pevek,99,,1603762147,93,69.7,170.31,22.42,19.57
xining,100,,1603762147,89,36.62,101.77,34.02,2.93
hobyo,87,,1603762058,80,5.35,48.53,78.66,3.51
shimanovsk,100,,1603762148,81,52,127.7,37.04,8.3
constitucion,100,,1603762026,81,-35.33,-72.42,50.52,12.08
kloulklubed,75,,1603762148,79,7.04,134.26,84.2,5.82
evreux,0,,1603762067,93,49.02,1.15,46.4,11.41
fortuna,1,,1603762024,36,40.6,-124.16,57.0,11.41
norman wells,75,,1603762149,79,65.28,-126.83,24.8,20.8
ixtapa,20,,1603762066,79,20.7,-105.2,84.99,6.93
mehamn,0,,1603762149,78,71.04,27.85,37.98,11.21
kumukh,0,,1603762149,45,42.17,47.12,48.36,3.62
abalak,100,,1603762150,99,58.13,68.59,31.59,18.23
colares,74,,1603762150,82,38.8,-9.45,57.0,6.6
bandarbeyla,20,,1603762150,78,9.49,50.81,74.1,9.08
omboue,100,,1603762150,88,-1.57,9.26,76.44,8.03
pergamino,0,,1603762150,66,-33.89,-60.57,59.0,5.01
kaeo,18,,1603762151,67,-35.1,173.78,70.05,8.25
catio,0,,1603762151,89,11.28,-15.25,78.78,4.83
kirksville,90,,1603762151,80,40.19,-92.58,30.99,6.93
dharchula,0,,1603762151,37,29.85,80.53,51.33,5.1
basco,95,,1603762152,83,20.45,121.97,80.98,25.03
vestmannaeyjar,100,,1603762152,75,63.44,-20.27,42.93,35.41
san diego de la union,100,,1603762152,31,21.47,-100.87,61.83,5.14
sioux lookout,75,,1603762152,58,50.1,-91.92,24.8,11.41
hirara,40,,1603762152,65,24.8,125.28,80.6,14.99
otane,100,,1603762153,91,-39.88,176.63,55.99,5.64
berga,75,,1603761980,81,60.39,5.33,46.0,13.87
phayao,36,,1603762153,88,19.25,100.25,73.42,1.23
koson,0,,1603762153,48,39.04,65.58,44.6,9.17
olafsvik,100,,1603762154,71,64.89,-23.71,40.35,18.86
roald,8,,1603762078,100,62.58,6.13,46.99,2.24
biasca,75,,1603762154,93,46.36,8.97,50.0,8.05
salalah,0,,1603762059,60,17.02,54.09,75.2,2.24
santa rosa,75,,1603762155,74,14.31,121.11,86.0,10.29
dandong,0,,1603762155,67,40.13,124.39,55.0,9.1
mount gambier,75,,1603762029,67,-37.83,140.77,59.0,14.99
majene,100,,1603762155,67,-3.54,118.97,85.19,3.62
leningradskiy,100,,1603762155,95,69.38,178.42,26.56,16.82
ossora,100,,1603762156,89,59.24,163.07,39.27,11.41
indramayu,100,,1603762156,71,-6.33,108.32,82.49,5.59
nhulunbuy,40,,1603762156,55,-12.23,136.77,89.6,11.41
mapiripan,85,,1603762156,86,2.89,-72.13,77.79,4.9
stornoway,54,,1603762157,100,58.21,-6.39,45.0,4.7
hun,0,,1603762157,54,29.13,15.95,66.78,6.6
warri,100,,1603762157,92,5.52,5.75,76.21,1.01
dunedin,52,,1603762157,66,-45.87,170.5,53.01,11.99
vardo,75,,1603762158,84,70.37,31.11,35.6,12.75
san policarpo,66,,1603762158,73,12.18,125.51,84.29,7.85
san luis,0,,1603762097,28,-33.3,-66.34,64.96,7.56
tongliao,0,,1603762218,46,43.61,122.27,45.7,14.9
cururupu,100,,1603762219,85,-1.83,-44.87,77.18,3.85
iqaluit,90,,1603762212,85,63.75,-68.51,17.6,3.36
chulman,100,,1603762219,95,56.85,124.91,18.1,10.67
seara,100,,1603762219,8,41.18,-7.8,50.0,4.99
tomatlan,75,,1603762220,87,19.93,-105.25,78.78,3
christchurch,100,,1603762012,62,-43.53,172.63,53.6,10.29
ayorou,48,,1603762220,15,14.73,0.92,80.74,4.92
tongchuan,100,,1603762221,42,35.08,109.09,54.18,9.46
kachug,55,,1603762221,86,53.96,105.88,22.73,2.82
gorontalo,99,,1603762221,58,0.54,123.06,88.86,6.89
mareeba,73,,1603762221,58,-17,145.43,89.01,10.29
deputatskiy,100,,1603762222,90,69.3,139.9,4.5,1.19
hambantota,75,,1603762222,100,6.12,81.12,78.8,2.24
bikin,100,,1603762222,69,46.82,134.26,45.19,5.32
vilyuysk,97,,1603762223,92,63.76,121.62,10.26,5.57
sao paulo de olivenca,0,,1603762223,79,-3.38,-68.87,78.69,1.66
kariba,0,,1603762223,51,-16.52,28.8,75.67,2.68
booue,100,,1603762224,96,-0.09,11.94,72.77,2.42
mega,100,,1603762224,88,4.05,38.3,60.93,4.59
bangassou,97,,1603762224,92,4.74,22.82,69.75,1.23
bathurst,63,,1603762054,65,-33.42,149.58,63.0,1.01
tual,99,,1603762225,71,-5.67,132.75,82.35,2.71
sabang,4,,1603762225,72,5.89,95.32,82.85,17.36
nuqui,41,,1603762225,84,5.71,-77.27,78.19,2.42
mahon,1,,1603762225,76,39.89,4.27,53.6,5.82
margate,8,,1603762226,83,51.38,1.39,51.01,1.99
severodvinsk,90,,1603762226,93,64.56,39.83,35.6,4.47
ilulissat,100,,1603762226,73,69.22,-51.1,19.4,2.24
nizwa,0,,1603762226,56,22.93,57.53,60.35,1.32
bestobe,17,,1603762227,73,52.5,73.1,39.43,18.07
nuuk,93,,1603762227,63,64.18,-51.72,28.4,4.7
ambalavao,0,,1603762227,85,-21.83,46.93,59.2,2.26
lumsden,20,,1603762228,72,50.65,-104.87,17.6,10.29
mpika,63,,1603762228,67,-11.83,31.45,64.53,9.78
westport,90,,1603762228,87,41.14,-73.36,59.0,9.17
grand gaube,0,,1603762229,77,-20.01,57.66,72.0,3
meulaboh,58,,1603762229,75,4.14,96.13,81.64,3.51
kochevo,18,,1603762229,95,59.6,54.31,23.47,5.79
pop,0,,1603762230,56,40.87,71.11,42.8,4.7
qui nhon,100,,1603762230,80,13.77,109.23,79.16,19.06
zhigansk,100,,1603762230,92,66.77,123.37,1.8,11.9
mahalapye,0,,1603762231,35,-23.1,26.81,70.79,12.39
batatais,0,,1603762231,65,-20.89,-47.59,77.0,6.93
havoysund,96,,1603762231,80,71,24.66,35.6,11.41
singapore,75,,1603761990,79,1.29,103.85,86.0,4.7
larreynaga,100,,1603762232,95,12.68,-86.57,74.19,2.1
saint anthony,1,,1603762232,58,45.02,-93.22,26.6,4.7
waddan,0,,1603762232,56,29.16,16.14,65.86,6.42
mount isa,90,,1603762232,14,-20.73,139.5,80.6,10.29
loikaw,0,,1603762293,82,19.67,97.21,74.01,2.01
chimoio,0,,1603762293,100,-19.12,33.48,64.4,2.24
shelopugino,71,,1603762293,91,51.65,117.56,25.0,10.04
codrington,87,,1603762052,73,-38.27,141.97,59.31,14.45
praya,40,,1603762294,78,14.92,-23.51,78.8,12.75
otjimbingwe,66,,1603762294,40,-22.35,16.13,72.91,3.42
port hedland,0,,1603762052,65,-20.32,118.57,82.4,9.17
bay roberts,95,,1603762295,69,47.6,-53.26,37.99,4
kijang,0,,1603762295,62,35.24,129.21,59.0,2.24
pueblo,1,,1603762150,84,38.25,-104.61,10.0,4.7
honiara,40,,1603762295,70,-9.43,159.95,87.8,10.29
dukat,100,,1603762296,96,62.55,155.55,15.22,7.31
kyra,0,,1603762296,73,49.58,111.98,29.59,9.57
mbaiki,100,,1603762296,97,3.87,17.99,69.4,1.23
necochea,0,,1603762296,87,-38.55,-58.74,51.01,5.99
carutapera,97,,1603762297,83,-1.2,-46.02,78.85,5.84
iracoubo,5,,1603762297,84,5.48,-53.2,79.83,8.32
senno,100,,1603762297,89,59.53,33.92,46.24,8.99
singaraja,68,,1603762298,59,-8.11,115.09,86.9,2.8
rome,90,,1603762298,83,34.26,-85.16,69.8,2.26
ostrovnoy,100,,1603762298,94,68.05,39.51,41.43,23.94
lorengau,79,,1603762298,76,-2.02,147.27,82.69,3.62
zyryanka,0,,1603762299,93,65.75,150.85,11.95,4.25
kemijarvi,98,,1603762299,96,66.71,27.43,38.35,7.16
porto belo,75,,1603762281,83,-27.16,-48.55,75.2,13.87
saucillo,0,,1603762299,30,28.02,-105.28,74.07,19.24
svetlyy,100,,1603762299,93,54.67,20.13,55.4,8.95
suzhou,100,,1603762300,92,31.31,120.62,71.01,6.46
angoche,0,,1603762300,80,-16.23,39.91,74.05,0.4
ulladulla,90,,1603762301,93,-35.35,150.47,57.99,8.05
ikalamavony,0,,1603762301,73,-21.15,46.58,63.7,3.42
shahreza,0,,1603762302,67,32.03,51.88,40.35,2.06
viedma,100,,1603762302,29,-40.81,-63,68.0,4
zyryanovsk,98,,1603762302,74,49.74,84.27,36.55,0.85
talnakh,40,,1603762303,84,69.49,88.4,1.4,6.71
bethel,90,,1603762303,100,41.37,-73.41,54.0,0.6
yulara,0,,1603762303,21,-25.24,130.99,77.0,6.93
caravelas,8,,1603762304,90,-17.71,-39.25,73.53,3.47
